timestamp,gsr,bpm,interval,label
1776966680753,220,126,2,скакалка
1776966680754,298,126,2,скакалка
1776966680754,294,126,2,скакалка
1776966680755,295,126,2,скакалка
1776966680755,295,126,2,скакалка
1776966680756,295,126,2,скакалка
1776966680756,296,126,2,скакалка
1776966680757,327,126,2,скакалка
1776966680757,292,126,2,скакалка
1776966680758,396,126,2,скакалка
1776966681196,396,126,2,скакалка
1776966681775,296,126,2,скакалка
1776966681775,0,126,2,скакалка
1776966681777,291,126,2,скакалка
1776966681777,302,126,2,скакалка
1776966681778,288,126,2,скакалка
1776966681778,290,126,2,скакалка
1776966681779,295,126,2,скакалка
1776966681779,292,126,2,скакалка
1776966681780,270,126,2,скакалка
1776966681780,293,126,2,скакалка
1776966682187,293,127,2,скакалка
1776966682795,294,127,2,скакалка
1776966682796,426,127,2,скакалка
1776966682796,290,127,2,скакалка
1776966682797,290,127,2,скакалка
1776966682797,291,127,2,скакалка
1776966682797,288,127,2,скакалка
1776966682798,139,127,2,скакалка
1776966682798,289,127,2,скакалка
1776966682799,289,127,2,скакалка
1776966682799,280,127,2,скакалка
1776966683176,280,126,2,скакалка
1776966683813,289,126,2,скакалка
1776966683814,288,126,2,скакалка
1776966683814,288,126,2,скакалка
1776966683815,287,126,2,скакалка
1776966683815,327,126,2,скакалка
1776966683816,288,126,2,скакалка
1776966683817,321,126,2,скакалка
1776966683817,287,126,2,скакалка
1776966683818,287,126,2,скакалка
1776966683820,288,126,2,скакалка
1776966684662,288,125,2,скакалка
1776966684834,288,125,2,скакалка
1776966684835,251,125,2,скакалка
1776966684836,288,125,2,скакалка
1776966684837,248,125,2,скакалка
1776966684838,289,125,2,скакалка
1776966684839,303,125,2,скакалка
1776966684840,289,125,2,скакалка
1776966684840,304,125,2,скакалка
1776966684841,289,125,2,скакалка
1776966684841,264,125,2,скакалка
1776966684842,306,125,2,скакалка
1776966685652,306,124,2,скакалка
1776966685857,292,124,2,скакалка
1776966685857,248,124,2,скакалка
