timestamp,gsr,ecg,interval
1776458732899,670,-126,0
1776458732899,670,-210,0
1776458732900,670,-220,0
1776458732900,670,99,0
1776458732901,670,530,0
1776458732902,670,394,0
1776458732903,670,-61,0
1776458732904,670,-106,0
1776458732905,670,0,0
1776458732905,670,-111,0
1776458732906,670,-195,0
1776458732906,670,-173,0
1776458732907,670,-175,0
1776458732907,670,-180,0
1776458732908,670,-161,0
1776458732908,670,-161,0
1776458732909,670,-163,0
1776458732909,670,-146,0
1776458732910,670,-133,0
1776458732910,670,-138,0
1776458732911,670,-141,0
1776458732911,670,-126,0
1776458732912,670,-116,0
1776458732912,670,-123,0
1776458732913,670,-116,0
1776458732913,670,-94,0
1776458732914,670,-86,0
1776458732914,670,-61,0
1776458732914,670,-24,0
1776458732915,670,-17,0
1776458732916,670,-19,0
1776458732917,670,-7,0
1776458732917,670,-17,0
1776458732918,670,-44,0
1776458732918,670,-61,0
1776458732918,670,-94,0
1776458732919,670,-136,0
1776458732919,670,-156,0
1776458732920,670,-158,0
1776458732920,670,-158,0
1776458732921,670,-168,0
1776458732921,670,-170,0
1776458732922,670,-163,0
1776458732922,670,-173,0
1776458732923,670,-183,0
1776458732923,670,-161,0
1776458732924,670,-143,0
1776458732924,670,-151,0
1776458732924,670,-156,0
1776458732925,670,-151,0
1776458732925,670,-148,0
1776458732926,670,-143,0
1776458732926,670,-128,0
1776458732927,670,-113,0
1776458732927,670,-116,0
1776458732928,670,-121,0
1776458732928,670,-113,0
1776458732929,670,-111,0
1776458732930,670,-113,0
1776458732930,670,-109,0
1776458732931,670,-99,0
1776458732932,670,-99,0
1776458732932,670,-109,0
1776458732933,670,-118,0
1776458732933,670,-113,0
1776458732934,670,-101,0
1776458732934,670,-94,0
1776458733413,671,-94,0
1776458733414,669,-94,0
1776458733414,670,-94,0
1776458733415,670,-94,0
1776458733415,669,-94,0
1776458733416,671,-94,0
1776458733416,671,-94,0
1776458733417,669,-94,0
1776458733417,670,-94,0
1776458733418,670,-94,0
1776458733435,670,-96,0
1776458733436,670,-104,0
1776458733436,670,-96,0
1776458733437,670,-86,0
1776458733438,670,-86,0
1776458733439,670,-94,0
1776458733440,670,-116,0
1776458733440,670,-128,0
1776458733441,670,-123,0
1776458733441,670,-118,0
1776458733442,670,-106,0
1776458733443,670,-76,0
1776458733443,670,-52,0
1776458733444,670,-32,0
1776458733445,670,-14,0
1776458733445,670,-27,0
1776458733446,670,-56,0
1776458733447,670,-71,0
1776458733448,670,-76,0
1776458733449,670,-79,0
1776458733450,670,-71,0
1776458733451,670,-109,0
1776458733451,670,-190,0
1776458733452,670,-133,0
1776458733453,670,260,0
1776458733453,670,609,0
1776458733454,670,351,0
1776458733454,670,-49,0
1776458733455,670,-22,0
1776458733456,670,32,0
1776458733456,670,-99,0
1776458733457,670,-156,0
1776458733457,670,-128,0
1776458733458,670,-121,0
1776458733459,670,-128,0
1776458733459,670,-126,0
1776458733460,670,-109,0
1776458733461,670,-86,0
1776458733461,670,-86,0
1776458733462,670,-101,0
1776458733462,670,-96,0
1776458733463,670,-71,0
1776458733464,670,-71,0
1776458733465,670,-79,0
1776458733465,670,-64,0
1776458733466,670,-39,0
1776458733467,670,-19,0
1776458733467,670,-12,0
1776458733468,670,-4,0
1776458733468,670,19,0
1776458733469,670,49,0
1776458733470,670,59,0
1776458733470,670,44,0
1776458733471,670,22,0
1776458733471,670,2,0
1776458733472,670,-12,0
1776458733473,670,-39,0
1776458733473,670,-81,0
1776458733474,670,-116,0
1776458733474,670,-136,0
1776458733475,670,-143,0
1776458733476,670,-146,0
1776458733476,670,-143,0
1776458733477,670,-136,0
1776458733477,670,-138,0
1776458733478,670,-141,0
1776458733479,670,-136,0
1776458733479,670,-136,0
1776458733480,670,-136,0
1776458733481,670,-126,0
1776458733481,670,-113,0
1776458733482,670,-109,0
1776458733482,670,-104,0
1776458734066,670,-104,0
1776458734066,670,-96,0
1776458734067,670,-79,0
1776458734067,670,-89,0
1776458734068,670,-104,0
1776458734068,670,-84,0
1776458734069,670,-74,0
1776458734069,670,-91,0
1776458734069,670,-79,0
1776458734070,670,-66,0
1776458734071,670,-81,0
1776458734073,670,-81,0
1776458734073,670,-76,0
1776458734074,670,-74,0
1776458734074,670,-64,0
1776458734075,670,-59,0
1776458734075,670,-59,0
1776458734076,670,-66,0
1776458734076,670,-76,0
1776458734077,670,-81,0
1776458734077,670,-91,0
1776458734078,670,-94,0
1776458734078,670,-74,0
1776458734079,670,-49,0
1776458734079,670,-24,0
1776458734079,670,-24,0
