timestamp,gsr,ecg,interval,label
1775166023922,309,-188,0,пресс
1775166023922,309,-141,0,пресс
1775166023922,309,-84,0,пресс
1775166023923,309,-175,0,пресс
1775166024472,309,-304,0,пресс
1775166024473,309,-319,0,пресс
1775166024474,309,-232,0,пресс
1775166024475,309,-200,0,пресс
1775166024476,309,-262,0,пресс
1775166024476,309,-267,0,пресс
1775166024477,309,-250,0,пресс
1775166024478,309,-275,0,пресс
1775166024478,309,-218,0,пресс
1775166024478,309,-158,0,пресс
1775166024479,309,-235,0,пресс
1775166024479,309,-265,0,пресс
1775166024480,309,-200,0,пресс
1775166024480,309,-198,0,пресс
1775166024481,309,-183,0,пресс
1775166024481,309,-146,0,пресс
1775166024482,309,-188,0,пресс
1775166024482,309,-215,0,пресс
1775166024482,309,-203,0,пресс
1775166024483,309,-193,0,пресс
1775166024483,309,-166,0,пресс
1775166024484,309,-168,0,пресс
1775166024484,309,-195,0,пресс
1775166024485,309,-166,0,пресс
1775166024485,309,-86,0,пресс
1775166024485,309,-79,0,пресс
1775166024486,309,-195,0,пресс
1775166024486,309,-307,0,пресс
1775166024487,309,-252,0,пресс
1775166024487,309,-158,0,пресс
1775166024488,309,-143,0,пресс
1775166024488,309,-81,0,пресс
1775166024488,309,-126,0,пресс
1775166024489,309,-341,0,пресс
1775166024489,309,-299,0,пресс
1775166024490,309,-96,0,пресс
1775166024490,309,-151,0,пресс
1775166024490,309,-215,0,пресс
1775166024491,309,-121,0,пресс
1775166024491,309,-138,0,пресс
1775166024492,309,-193,0,пресс
1775166024492,309,-168,0,пресс
1775166024493,309,-143,0,пресс
1775166024493,309,-9,0,пресс
1775166024494,309,96,0,пресс
1775166024495,309,-183,0,пресс
1775166024495,309,-507,0,пресс
1775166024496,309,-384,0,пресс
1775166024496,309,-153,0,пресс
1775166024497,309,-180,0,пресс
1775166024497,309,-255,0,пресс
1775166024498,309,-203,0,пресс
1775166024498,309,-126,0,пресс
1775166024499,309,-146,0,пресс
1775166024499,309,-242,0,пресс
1775166024499,309,-245,0,пресс
1775166024500,309,-213,0,пресс
1775166024500,309,-235,0,пресс
1775166024501,309,-227,0,пресс
1775166024501,309,-205,0,пресс
1775166024502,309,-158,0,пресс
1775166024502,309,-109,0,пресс
1775166024502,309,-158,0,пресс
1775166024503,309,-175,0,пресс
1775166024503,309,-79,0,пресс
1775166024504,309,-84,0,пресс
1775166024504,309,-168,0,пресс
1775166024505,309,-136,0,пресс
1775166024505,309,-64,0,пресс
1775166024506,309,-61,0,пресс
1775166024506,309,-89,0,пресс
1775166024506,309,-104,0,пресс
1775166024507,309,-91,0,пресс
1775166024804,310,-91,0,пресс
1775166024804,310,-91,0,пресс
1775166024805,309,-91,0,пресс
1775166024806,307,-91,0,пресс
1775166024807,306,-91,0,пресс
1775166024808,305,-91,0,пресс
1775166024809,304,-91,0,пресс
1775166024809,304,-91,0,пресс
1775166024810,304,-91,0,пресс
1775166024811,303,-91,0,пресс
1775166024811,303,-91,0,пресс
1775166025057,303,-71,0,пресс
1775166025058,303,-123,0,пресс
1775166025059,303,-282,0,пресс
1775166025059,303,-337,0,пресс
